bd,id,Tipo,Subtipo,Fecha,Detonante,DetonanDes,Fuente,Subregion,Municipio,Pueblo,Sitio,Incertidumb,Norte,Este,Fallecidos,Economicas,Notas,LinkFoto
ant,2923.000,Landslide,,1982-05-22,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,Santo Domingo Savio Nº1,Calle 107 con Cra. 33 B,Mid,6.295,-75.544,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,3458.000,Landslide,,1984-05-14,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,Santo Domingo Savio Nº1,Calle 106 B con Cra. 32,Mid,6.295,-75.542,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,2768.000,Landslide,,1981-11-28,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,La Esperanza Nº2,,Mid,6.295,-75.542,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,3463.000,Landslide,,1984-05-08,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,La Esperanza Nº2,,Mid,6.295,-75.542,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,2929.000,Landslide,,1982-04-08,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,La Avanzada,Calle 107 B con Cra. 29,Mid,6.295,-75.540,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,4666.000,Landslide,,1989-09-12,Unknown,Desconocida,Ingeominas,Valle de Aburrá,Medellín,La Avanzada,Barrio Manrique (La Avanzada),Mid,6.296,-75.539,0.000,"0",Se desconoce la causa,
ant,7773.000,Landslide,,2007-10-26,Rainfall,Vendaval - Fuerte aguacero desde las 6 p m hasta la madrugada,El Colombiano,Valle de Aburrá,Medellín,La Avanzada,,Mid,6.296,-75.539,2.000,"0","Movimiento en masa las victimas corresponde a dos niños de 6 y 9 años; su mama resultò herida sin gravedad.(di6author : edier)(di6date : 2007-10-27)",
ant,2925.000,Landslide,,1982-05-05,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,San Pablo,Calle 101 con Cra. 38,Mid,6.290,-75.547,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,2926.000,Landslide,,1982-05-24,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,San Pablo,Calle 99 con Cra. 39,Mid,6.289,-75.547,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,7693.000,Debris Flow,,2005-07-19,Rainfall,Inundación - Lluvias intesas y avenida torrencial lodo,Peródico El Mundo,Valle de Aburrá,Medellín,Moscú Nº1,,Mid,6.289,-75.548,2.000,"8","El origen de esta avenida fué la rotura de un tubo de epm; que con alta presión y pendiente generó el aluda de lodo.(di6author : j. vanegas)(di6date : marzo 1 2006)",
ant,2618.000,Landslide,,1980-11-23,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,Granizal,Calle 105 con Cra. 42 B,Mid,6.294,-75.548,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,3460.000,Landslide,,1984-05-15,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,Granizal,Calle 104 con Cra. 39,Mid,6.293,-75.547,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,3888.000,Landslide,,1986-06-02,Rainfall,Lluvias - Fuerte aguacero,El Colombiano,Valle de Aburrá,Medellín,Santo Domingo Savio Nº1,Entre Los barrios de Santo Domingo Savio y Villa Guadalupe *,Mid,6.292,-75.549,0.000,"0",* especificamente en la clle 94 con cra. 40 en este sector hubo emergencias siendo necesario evacuar varias familias ante el inminente peligro de deslizamiento. tomado de el colombiano de 4 de junio/1986(di6date : 24/9/02),
ant,3661.000,Landslide,,1985-11-11,Unknown,Desconocida,Ingeominas,Valle de Aburrá,Medellín,,"Barrio Santa Cecilia; Cra 43B con Calle 101",High,6.291,-75.549,0.000,"0","Se desconoce la causa el barrio santa cecilia no aparece en el listado actualizado de barrios según decreto 346 de 2000 (con fecha del 24 de enero de 2001; información geográfica/mpio de medellín)",
ant,4449.000,Landslide,,1988-11-10,Unknown,Desconocida,Ingeominas,Valle de Aburrá,Medellín,,Barrio Santa Cecilia,High,6.291,-75.549,0.000,"0","Se desconoce la causa el barrio santa cecilia no aparece en la lista actualizada según decreto 346 de 2000 (con fecha del 24 de enero de 2001; información geografica/municipio de medellín)",
ant,5779.000,Landslide,,1995-08-21,Unknown,Otra causa - Otra causa,Dnpad,Valle de Aburrá,Medellín,,Barrio Granizal,High,6.292,-75.546,0.000,"0",(di6date : frg),
ant,3665.000,Landslide,,1985-08-23,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,Granizal,,Mid,6.292,-75.546,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,4649.000,Debris Flow,,1989-12-02,Rainfall,Lluvias - Aguacero torrencial,El Colombiano,Valle de Aburrá,Medellín,Granizal,En un sector del barrio Marco Fidel Suarez.*,Mid,6.292,-75.546,0.000,"0","* en las direcciones calle 106 con cra 42 b; clle 100 con cra 42; clle 92 cra 38 y clle 96 con cra 52(di6date : 27/09/02)",
ant,7733.000,Debris Flow,,2006-12-10,Rainfall,Lluvias - Creciente de quebrada en el barrio granizal que afectó un,El Colombiano,Valle de Aburrá,Medellín,Granizal,No Especificado,Mid,6.292,-75.546,1.000,"0","*menor de 9 años; el cual fue encontrado ahogado.(di6author : julieta g)(di6date : dic 27/06)",
ant,2756.000,Landslide,,1981-05-22,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,Popular,Calle 106 con Cra. 46,Mid,6.295,-75.552,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,3150.000,Landslide,,1983-04-23,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,Granizal,Calle 106 con Cra. 43 B,Mid,6.295,-75.550,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,3462.000,Landslide,,1984-05-15,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,Santa Cruz,Calle 103 con Cra. 48,Mid,6.293,-75.554,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,6254.000,Landslide,,1997-02-16,Rainfall,Lluvias - Fuerte aguacero,El Colombiano,Valle de Aburrá,Medellín,Santa Cruz,Cra. 48 con Calle 102,Mid,6.293,-75.554,0.000,"0",Nota1: la noticia de la cual se tomo la anterior información aparece en el periódico el colombiano el 18 de febrero de 1997.(di6date : 2/10/02),
ant,7810.000,Landslide,,2008-07-16,Rainfall,Lluvias - Deslizamiento que sepultó dos viviendas a las 7 a m,El Colombiano,Valle de Aburrá,Medellín,Santo Domingo Savio Nº1,Sector la Balastrera,Mid,6.302,-75.542,4.000,"0",Entre las personas muertas se encuentran dos niños(di6author : edier)(di6date : 2008-07-18),
ant,7823.000,Landslide,,2008-10-12,Rainfall,Lluvias - Intensas lluvias en la noche,Hora 13,Valle de Aburrá,Medellín,Santo Domingo Savio Nº2,Sector la Silla,Mid,6.300,-75.541,0.000,"0",(di6author : edier)(di6date : 2008-10-15),
ant,2599.000,Debris Flow,,1979-09-17,Unknown,Desconocida,El Colombiano,Valle de Aburrá,Medellín,Pablo Vi,Pablo Vi y Zamora,Mid,6.303,-75.553,0.000,"0",Se desconoce la causa este evento se dio en otro barrio fuera de este y en la ficha no dice a que barrios se les atribuyen los distintos efectos...este barrio es: zamora)(di6author : rsb)(di6date : 23/04/01),
ant,2764.000,Landslide,,1981-10-07,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,La Frontera,Calle 117 con Cra. 52,Mid,6.304,-75.556,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,2765.000,Landslide,,1981-05-22,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,Andalucía,Calle 107 con Cra. 51 a,Mid,6.299,-75.557,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,8197.000,Landslide,,2020-03-20,Rainfall,,Caracol Radio,Valle de Aburrá,Medellín,Héctor Abad Gómez,Estación Acevedo,low,6.300,-75.559,0.000,Línea férrea del metro afectada,"-",
