Fecha,Station_1,Station_2,Station_3,Station_4,Station_5,Station_6,Station_7,Station_8,Station_9,Station_10,Station_11,Station_12,Station_13,Station_14,Station_15,Station_16,Station_17,Station_18,Station_19,Station_20,Station_21,Station_22,Station_23,Station_24,Station_25,Station_26,Station_27,Station_28,Station_29,Station_30,Station_31,Station_32,Station_33,Station_34,Station_35,Station_36,Station_37,Station_38,Station_39,Station_40,Station_41,Station_42,Station_43,Station_44,Station_45,Station_46,Station_47,Station_48,Station_49,Station_50,Station_51,Station_52,Station_53,Station_54,Station_55,Station_56,Station_57,Station_58,Station_59,Station_60,Station_61,Station_62,Station_63,Station_64,Station_65,Station_66,Station_67,Station_68,Station_69,Station_70,Station_71,Station_72,Station_73,Station_74,Station_75,Station_76,Station_77,Station_78,Station_79,Station_80,Station_81,Station_82,Station_83,Station_84,Station_85,Station_86,Station_87,Station_88,Station_89,Station_90,Station_91,Station_92,Station_93,Station_94,Station_95,Station_96,Station_97,Station_98,Station_99,Station_100,Station_101,Station_102,Station_103,Station_104,Station_105,Station_106,Station_107,Station_108,Station_109,Station_110,Station_111,Station_112,Station_113,Station_114,Station_115,Station_116,Station_117,Station_118,Station_119,Station_120,Station_121,Station_122,Station_123,Station_124,Station_125,Station_126,Station_127,Station_128,Station_129,Station_130,Station_131,Station_132,Station_133,Station_134,Station_135,Station_136,Station_137,Station_138,Station_139,Station_140,Station_141,Station_142,Station_143,Station_144,Station_145,Station_146,Station_147,Station_148,Station_149,Station_150,Station_151,Station_152,Station_153,Station_154,Station_155,Station_156,Station_157,Station_158
1970-12-31,2206.2720000000004,2003.232,2803.968,2531.931,1737.024,2114.2050000000004,1846.464,2509.023,1539.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971-12-31,2293.632,2235.168,3499.776,2780.133,2087.04,2291.619,2127.2190000000005,3021.2370000000005,1729.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972-12-31,1774.0800000000002,1616.256,2841.0239999999994,2610.72,1613.28,1876.8,1695.5670000000002,2237.976,1517.7599999999998,1471.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973-12-31,2161.503,1968.645,2964.2850000000003,2162.016,1871.637,1899.2490000000005,1725.282,2350.851,1964.16,1646.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974-12-31,2172.033,2059.803,3048.675,2298.24,1876.683,1918.767,1854.876,2681.1360000000004,2143.1040000000003,1665.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975-12-31,2266.752,2018.784,3679.392,2587.392,1759.2960000000005,2169.504,2022.528,2674.752,2256.768,1614.8159999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-12-31,1450.7520000000002,1353.216,2427.072,1355.712,1218.624,1231.872,1162.944,2547.1680000000006,1260.96,1055.5200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-12-31,1697.184,1395.456,2600.7360000000003,1975.4880000000005,1375.872,1701.216,1477.4399999999998,2954.208,1577.6640000000002,1254.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-12-31,1743.0719999999997,1529.184,2623.9680000000003,2003.52,1363.2959999999998,1643.4239999999998,1974.816,4287.936000000001,1808.352,1305.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-12-31,1770.432,1723.2,2911.2,1968.96,1491.936,1535.136,1102.464,3135.072,1755.552,1335.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-31,1373.472,1430.208,2277.792,1878.048,1413.186,1382.304,1444.422,2287.488,1329.984,1218.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-31,2297.8440000000005,2295.702,3135.552,2056.038,1802.463,1716.351,1796.73,2183.328,2286.09,1660.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-31,2176.62,1819.242,2980.992,2308.218,1591.359,2175.873,2147.52,2435.04,2132.118,1440.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,1836.897,1623.9450000000002,2376.264,1816.071,1341.024,1849.686,1644.2610000000002,2090.856,1529.4630000000002,1322.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,2169.543,2092.599,3391.32,2392.761,1792.992,1886.154,1780.443,2554.776,2071.401,1699.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-12-31,2072.856,1950.816,2213.664,1984.881,1604.736,1497.984,2951.52,2289.1200000000003,1766.784,1459.6799999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-31,1744.761,1583.7120000000002,2517.69,1881.903,1523.136,1603.812,0.0,2354.3160000000003,1644.861,1344.4799999999998,665.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-31,1817.415,1923.36,2256.246,1688.64,1637.8560000000002,1678.332,0.0,2204.82,1552.899,1374.7200000000005,1742.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-31,2472.909,2232.072,3141.159,2484.273,1705.6319999999998,2266.929,1812.864,2373.336,2400.0599999999995,1869.6,1983.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-12-31,2177.331,1749.523,2518.2810000000004,2042.511,1652.537,1934.991,1650.72,2153.544,2030.34,1444.1280000000002,1619.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-12-31,2084.736,1870.51,2371.968,2281.728,1724.637,1800.48,1547.136,2091.744,1902.912,355.944,1401.12,1588.9920000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31,1859.52,1567.618,2337.408,1910.592,1649.275,1230.816,1238.4,1670.304,1768.608,1865.784,1355.328,1373.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31,1723.0800000000002,1272.1150000000002,1615.5690000000002,1112.3049999999998,1173.9140000000002,1332.9599999999998,1413.408,1373.856,1537.545,1082.4,1778.7779999999998,1047.168,966.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31,2327.1600000000003,1868.608,2409.66,1721.199,1786.813,1553.3760000000002,1744.9920000000002,2088.192,1926.807,1643.3279999999995,2104.23,1424.64,1707.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-31,2001.216,1730.297,2333.568,1736.544,1540.3200000000002,1245.504,1317.6,2107.2,1368.9599999999998,1490.8799999999997,1756.992,1259.118,1326.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-31,2425.227,2154.163,2905.1659999999997,1900.261,1831.018,1444.32,2009.952,1972.128,1577.139,1752.768,2741.873,1528.936,1680.8640000000005,1593.5029999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31,2476.6700000000005,2114.161,2717.656,2542.489,2031.587,1679.041,1809.696,2416.588,1903.23,1627.021,2308.548,1707.903,1464.831,1683.975,1573.3049999999998,2968.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,1667.456,1260.905,1904.863,2075.335,1101.95,1314.323,1072.7799999999995,1497.428,1319.812,1050.088,1926.839,1221.632,584.0169999999999,812.73,960.869,1851.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31,2141.652,2169.313,2609.729,2307.902,1676.589,1287.165,1880.468,2562.72,1695.401,1599.852,2374.858,1682.602,1562.2689999999998,1745.271,1476.9709999999998,3020.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,2984.684,2434.594,3501.851,2583.654,2053.88,2045.943,1881.101,2586.72,2086.027,1784.657,2116.582,1819.132,1677.03,1602.1429999999998,1191.56,3619.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,2577.993,2002.884,2912.357,2214.6330000000003,1965.657,1840.495,1624.357,2501.376,2076.592,1895.315,2311.535,1775.3309999999997,1564.68,673.9830000000001,1622.9699999999998,3055.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,1679.214,1241.301,1902.504,1723.517,1200.072,1467.682,1151.565,1805.312,1437.631,1375.091,1801.815,1171.455,1095.52,1280.89,1135.3629999999998,2152.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
