,Codigo,Latitude,Longitude,FechaInstalacion,estado,NombreEstacion,Ciudad
56,47,6.388517,-75.49659,2010-05-03,A,Villa Nueva Sede La Luz,Copacabana
46,48,6.30446,-75.59467,2010-05-14,A,Escuela Rural Santa Angela,Medellin
50,49,6.212167,-75.5459,2010-09-08,A,Colegio Latino (Av. Las Palmas),Medellin
53,50,6.157871,-75.604745,2011-02-09,A,Universidad CES (Sabaneta),Sabaneta
51,51,6.3619,-75.6002,2011-02-02,A,Represa La Garcia ,Bello
54,52,6.144963,-75.561747,2011-03-01,A,Centro Veterinario y de Zootecnia CES,Envigado
55,53,6.25865,-75.62938,2011-03-24,A,Colegio Eduardo Santos,Medellin
52,54,6.235374,-75.597071,2011-06-17,A,I.E Juan Maria Cespedes,Medellin
29,55,6.284792,-75.539758,2011-06-29,A,I.E Reino de Belgica,Medellin
28,56,6.199783,-75.560961,2011-04-04,A,I.E Inem Jose Felix de Restrepo Sede Santa Catalina ,Medellin
61,57,6.042017,-75.61859,2012-03-23,A,Escuela la Clara,Caldas
58,58,6.04787,-75.62417,2012-03-23,A,Escuela Luis Javier Garcia Isaza,Caldas
57,60,6.259195,-75.588697,2010-12-19,A,Torre SIATA,Medellin
59,61,6.119794,-75.643,2012-03-20,A,Planta de Agua Bocatoma,La Estrella
60,62,6.137361,-75.644804,2012-03-07,A,Gimnasio Cantabria,La Estrella
62,64,6.119807,-75.597933,2012-09-05,A,Ecoparque La Romera,Sabaneta
63,65,6.143111,-75.601278,2012-08-09,A,I.E Las Lomitas,Sabaneta
64,66,6.410358,-75.452086,2012-05-09,A,I.E San Andres (Sede El Socorro),Girardota
66,70,6.326838,-75.523339,2012-06-25,A,Indural Km6 Medellin-Bogota,Copacabana
71,71,6.246512,-75.561825,2013-02-27,A,CEFA,Medellin
68,72,6.377454,-75.510159,2012-06-25,A,Jose Miguel de Restrepo,Copacabana
72,74,6.33726,-75.55868,2013-05-27,A,Edificio Gaspar de Rodas - Bello,Bello
74,76,6.334066,-75.537722,2013-06-26,A,I.E. Fontidueno,Bello
75,81,6.215262,-75.586992,2013-06-28,A,Bomberos Guayabal,Medellin
80,88,6.35678,-75.450971,2013-11-14,A,CUIDA Juan Cojo,Girardota
79,89,6.311368,-75.567776,2013-11-14,A,I.E Pedro Nel,Medellin
81,121,6.313703,-75.58158,2014-11-26,A,I.E Barrio Paris,Bello
84,127,6.419199,-75.483316,2015-04-10,A,I.E. Manuel Jose Sierra - Sede la Holanda,Girardota
